,총점,커리어 향상,업무와 삶의 균형,급여 및 복지,사내 문화,경영진,제목,직원유형,장점,단점
257,1,1,2,1,1,1,"“인생 슬퍼지는 지름길, 특히 바쁜팀걸리면 대재앙”",현직원 · n******* · 경영전략·사업기획·분석전문가 - 2021.10.02,"자동차덕후면 그나마 자부심 느낄 건덕지가 있긴함 그렇지만 회사내에 막상 자동차 잘 아는 사람은 별로 없어보이는게 함정
본인이 꿀 부서 걸리면 매우좋음 본인이 꿀빠는지도 모르는 꿀쟁이들 다수 포진중

이외 장점 무","바쁜팀만 계속죽어남 반대로 노는데는 그냥 계속 신선놀음 받는돈은 똑같아서 상대적박탈감만 계속 쌓임 인사팀이 이런부분을 해결할 의지도능력도 없음
도저히 대기업이라고 할 수 없는 연봉 밖에선 엄살인줄 알지만 진짜임
경영진 의사결정 방식 토나옴 자동차 회산데 뭔 이상한 임원들이 앉아있음
그냥 일 대충하고 영혼의 혀놀림으로 윗사람들 비위 적당히 맞추면서 얇고 길게 다니고 싶은 사람만 추천
근데 함정은 그게 목표면 여기보다 좋은데 널림"
258,1,1,2,1,1,1,“직원에 대한 존중이 1도 없는 회사”,현직원 · O***** · 회계·세무·재무 전문가 - 2021.07.12,주먹구구식으로 일하다 보니 잘 걸리면 워라벨은 극강일 수 있음," 시스템따위 없이 걍 돌아감
 직원에 대한 존중이 1도 없음
 복지 수준 개판이고 문화 조금 개선했다고 하지만 역시 개판임
 직원들 갈라치고 편만들어 싸우게 만드는 것에 능한 회사임"
259,1,1,3,2,2,1,“꼭대기부터 싹 갈아 엎어야죠”,현직원 · M***** · 연구개발(R&D) - 2021.07.09,회사생활이 많은 생각을 하게 합니다 번듯해보이는 회사를 다니고 있지만 퇴근 후에도 자기개발을 게을리 할 수 없네요,직원을 생각하지 않는 회사라는 건 확실한 것 같아요 사회생활의 첫 단추를 잘못 끼웠네요
260,1,1,3,1,1,1,“기업리뷰마저 조작해야하는 회사”,현직원 · l********* · 연구개발(R&D) - 2021.06.14,"1 고연령기술직의 지상낙원
2 그외 없음
3 다시생각해도 없음","1 가 기업리뷰마저 조작해야 2점초반을 유지할만큼 직원들이 등을돌린 회사
2 1의 원인 직원들의 불만을 없는것으로 치부하기바쁜 구시대적 인사운영
3 일 시킬땐 삼전 도요타와 비교하면서 성과급줄땐 스스로를 롯데cj쌍용과 비슷한 위치라고 하는 회사
4 중견기업이라 칭하기도 부끄러운 연봉 기업의 호재와는 아무 관련이없는 직원들의 연봉
5 보람을 찾을래야 찾을수가 없는회사 열심히 일해도 돌아오는건 경영진의 기만과 비웃음뿐인 회사
6 노조기술직의 이익을 위해 전도유망한 대졸 연구직의 미래를 뿌리뽑아버리는회사
7 이런 현실을 믿기싫은 취준생들이 지원함으로 인해 이 악순환을 영원히 깰수없는 이미 죽은 회사"
261,1,1,3,1,2,1,“인사팀이 블라평점 조작하는 회사”,현직원 · l******** · 연구개발(R&D) - 2021.04.16,"여기는 몇개 팀만 피하면 됨
설계 생기 구매 이런데만 피하면 아무것도 안해도 들킬염려가 없음","1 인사팀이 평점 조작하는 거 보면 답나옴
2 입사하고 원천징수가 늘어난 적이 없음
3 일하는거 보면 구멍가게가 따로 없다 대학 팀플정도로 문제 해결한다고 보면 됨
4 일을 잘하면 일이 많아지기때문에 이제 일 잘하는 사람 찾기가 힘들다"
262,1,1,1,1,1,1,“인사가 이렇게 개판인 곳이 없다 인사가 x맨!”,현직원 · t********* · 연구개발(R&D) - 2021.01.09,"인사가 직원의 적
시스템이 없다
비젼제시가 없다","인사가 직원의 적
시스템이 없다
비젼제시가 없다"
263,1,1,2,1,1,1,“블라인드 평점조차 조작하려 애쓰는 회사”,현직원 · l********* · 연구개발(R&D) - 2020.12.28,"고점 시기에 인재들을 많이 데려옴
다양한 사업을 준비하며 미래에 대응중","블라인드에 5점 평점을 주며 평점 하락을 막는 인간들이 있음
당신들 꼴 보기 싫어서 기업리뷰 씁니다
인재들이 많이 나감 이직 준비중인 사람도 많음
성과금 비중이 큰 연봉체계 5년이상 성과금 큰폭 하락중"
264,1,1,1,1,1,1,“직원을 개돼지로 보는 회사”,현직원 · i********* · 연구개발(R&D) - 2020.11.30,"유일한 장점은 차 할인
차 할인 받고 퇴사하는게 목표","그 외를 뺀 나머지
제일 최악은 직원들에게 반드시 필요한 것들을 해주면서도
그마저도 어떻게든 안해줄려고 뒤에서 꼼수를 부리기 때문에
임직원들의 로열티가 0에 수렴 중"
265,1,1,1,1,1,1,“내가 개돼지라는 느낌을 받을 수 잇는 회사”,현직원 · 티***** · 연구개발(R&D) - 2020.11.12,"나이들면 일 안하고 대장놀이하면서 회사다닐 수 잇음
생각없이 다닐 수 잇는 회사","연봉 많이 받을 수록 일이 적어짐
출퇴근 시간으로 하루에 3시간 정도를 써야함
식단을 보면 다이어트 욕구가 절로 나옴"
266,1,1,1,1,1,1,“뭐하나 타 대기업대비 나은게 한개도 없는 회사”,현직원 · 코*** · 경영지원·관리 전문가 - 2020.11.03,"남들이 보기엔 대기업이라는 점

뭐하는 회사인지 소개는 할 필요 없다는 점","6년째 줄어드는 연봉

신입사원 뽑을때 거짓 초봉으로 낚시

기업문화도 별로

근무지도 별로

복지는 완전 꽝"
267,1,1,1,1,1,1,“처음부터 입사하지 말았어야 하는 회사”,현직원 · j********* · 하드웨어 엔지니어 - 2020.10.16,"연장근무 없는 칼같은 출퇴근시간
5년내 꼰대질하는 중년층 근무자 자연감소","군대밥보다 맛 없는 그린푸드 식단
극단적인 연령분포로인한 젊은 임직원들 노동력 착취
전세계 최정상급 수직구조와 부조리
매년 줄어드는 연봉에도 불구하고 임단협마다 찾아오는 회사의 언론 플레이로 이미지는 바닥을 뚫고 지하로 들어감"
268,1,1,1,1,1,1,“수석 다코야키가 돈주는회사”,현직원 · i********* · IT 기획·매니지먼트 전문가 - 2020.10.13,돈을 적당히준다연봉3천정도연봉은 적은편이지만 그래도다닐만하다,중소기업이랑 비슷한 연봉이다 집을살수는없을정도로 적은연봉
269,1,1,1,1,1,1,“전근대적임”,현직원 · I********* · 연구개발(R&D) - 2020.10.01,"변기에 비데있음
변기에 비데있음
쪼그려싸는 화변기는 없음","회사가 내세우는 말과 행동이 다름
전근대적 문화
어떻게하면 하나라도 직원을 안챙겨주고 불편하게 할까 고민함
밥이 쓰레기같음
회사다니면서 정신과 육체적 건강이 악화됨
컴퓨터 모니터 사양이 너무나 후짐
업무에 필수적인 환경 지원이 제대로 안됨SW라이선스 부족 등
의자도 후짐
다 후짐"
270,1,1,1,1,1,1,“무엇을 상상하고 들어오든 그이상을 실망하게 되는 회사”,현직원 · 현******** · 품질관리·보증 전문가 - 2020.10.01,"1 일안하고 월급만 축내는 정치꾼 꼰대선배가 많아서 나도 오래버티면 노년엔 저렇게 일안하고 놀면서 돈벌수 있다는 희망을 안겨준다물론 그때까지 회사가 살아있어야겠지

2 어마어마하게 빡신 노사관계로 생산직들에겐 천국과도 깉은 곳이다 참고로 최근 생산직은 신규 공개채용을 한적이 없다 모두 비정규직에서 전환배치되어 로또맞은사람들 뿐이다

3 진급거부를 하여 평생조합원으로 남을 생각이라면
공무원보다 좋은 일자리다 연월차 모두 소진시
워킹데이가 200일 수준이 되며 08시 출근해서 하루종일 노닥거리다가 점심먹고 죙일 노닥거리다가 05시퇴근이 가능하다","1 생산직 혹은 진급거부로 평생 노동조합원의 직위를 얻지 못한다면 개같이 일해야만 하는 회사 대졸공채로 입사시 책임진급 전까지에 한해서이다 개는 짓기라도하고 가끔 뛰놀기도하지 책임진급시 말도못하고 눈만 꿈뻑꿈뻑하며 소처럼 일해야한다 물론 공장에 근무한다면 생산라인돌아가는 특근일주로 토요일이나 공휴일에는 무보수 출퇴근은 필수

2 신입사원 초봉6500이란 거짓정보에 다른 회사를 놓치고 덜컥 입사했다면 후회가 막심할 회사 지속상승하리라는 연봉에 대한 희망과 꿈은 처참히 파괴된다
60  64  67  69  72  70  68  65예상
물론 책임 진급시 첫해 80인데 해가갈수록 줄어든다고한다

3 업무 강도나 성과와 고과진급이 따로노는 동기부여가 0인 회사 진급은 무조건 입사순이다 물론 진급 거부한경우 빼고 운나쁘게 다른팀에서 내위로 줄줄이 넘어와서 3년정도 늦게되는건 부지기수 그래도 기다리면 언젠간 될지도 모른다 책임급들에게 고과는 연봉과 직결되어 매우 민감한 부분인데 일을 하나도안하고 처놀기만하는 꼰대들이 퇴직금 정산시기에 금액차이때문에 영감들에게 고과몰아주기위해 제일 일많이하고 아무도 안하려는 어려운 아이템을 맡고있는 젊은 책임들이 항상 희생당한다 덕분에 책임은 진급 첫해가 연봉이 제일높고 그후론 하락이다

4 워라벨은 공무원이나 챙기는 것이라는 꼰대마인드로 가득찬사람들이 꽉쥐고있는 회사
출산휴가5일은 너무 많다며 중간에 출근을 강요하고
백모상으로 경조휴가 상신시 니가 공무원이냐는 소리를 듣고
회사에서 장려하는 사내 영어수업을 듣겠다고하면 회사는 영어학원이 아니다 라며 워라벨을 철저히 무시하는 회사
심지어 여자친구도 없는놈이 휴가때 할일도 없겠다는 인신공격도 서슴없이 날리며 특근시키는극 악무도함을 보임
대신 특근수당 빵빵히 챙기자나 라며 마치 선심쓰듯 특근을 시킴 그돈 안받고 안하고싶다는 개인의 의견을 그냥 몰살시킴

4 생산직과 일반직의 괴리가 너무 큰곳 혹시나 공장
에서 일하게되면 내가 이럴려고 4년제 대학나와서 취뽀해가며 들어왔나 싶을정도로 정말 말도안되는 걸로 트집잡고 생떼쓰고 고함치고 욕하는 생산직에 혀를 내두르며 이직하고싶은 마음이 넘치게 만드는 곳임 지원을하게 된다면 생산직을 덜 마주치게되는 연구직을 추천함 단 연구소 수도권 출퇴근시 통근시간 왕복4시간 감안 필요
난 오래살꺼같음 생산직한테 욕을하도 많이처먹어서 그래도 안되는건 안되는거에요 아저씨들 그리고 밤엔 좀쉽시다 아저씨 야간에근무한다고 나도 야간까지대응해야되냐 넌 돈이라도 더받고 2교대하지 난 돈도안주는데 볼트 쪼으는데 조금 안맞는다고 밤 10시 11시에 불려들어가야냐 막상 내가가서 작업해보니 잘만되드만 정도것 징징대라 진짜 아예 집어던지면 알아서 찾아들어가게만들어달라지 왜 그럴꺼면니들도 필요없다 니들이 그거 하라고있는거잖아 니들 할일이 힘들어 그럼 하지마 그거하라고 니들 월급주는거잖아 유투브보고 리니지게임돌리고 그럴려고 빨리작압할수있게 만들어달라는거 이제지친다진짜지쳐

5 진짜 너무 궁금한대 단한번도 회식을 회사돈으로 한적이 없음 부서운영비는 대체 어디다쓰는걸까 회식을 하기위해서 별도 새마을금고 공제를 만들어서 월급에서 돈을떼가고 그돈으로 회식하고 모자라면 N빵시키는 치졸한곳임 대기업 맞긴하나 내돈 안내고 회식 안하고싶다 아니 그냥 돈은낼테니 회식좀 하지말자 꼰대들 비위맞추기위한자리 그만좀 하자 그나저나 부서 운영비중에 회식비는 누구 주머니로 들어가는거야 부서장이야 대의원이야 알고나 좀 씹자"
271,1,1,3,1,1,1,“직원을 필요악으로 보는 회사”,현직원 · w***** · 연구개발(R&D) - 2020.09.29,맘 먹고 배째고 다녀도 다닐 수 있음 일 안 할수록 유리,상상할 수 있는 대부분의 단점이 다 있는 곳이다 너무 별로임
272,1,1,1,1,1,1,“직원을 자동차 부품으로 생각하는 회사”,현직원 · a******* · 연구개발(R&D) - 2020.09.29,자동차 할인을 받을수있는데 그마저도 차장급은 되야 살만함,"기업수준에 안맞는 낮은 연봉
남양연구소 출퇴근지옥 버스안에서 인생낭비"
273,1,1,3,1,3,1,“워라밸은 부바부에 따라 괜찮을수 있으나 발전이없구 주먹구구식 일처리가 많은 회사”,현직원 · 뚱** · 연구개발(R&D) - 2020.09.29,조합원 소속일때 많은 휴가 및 업무강도는 최악은 아님 부바부에따라 워라밸 지킬 수 있는 부서들이 있음,"회사에서 직원들 처우개선에 관심없음 임금수즌은 말할것도 없으며
식사 질 개선 의지도 없음"
274,1,1,4,2,1,1,“영혼없이 다니기엔 좋은회사”,현직원 · P***** · 연구개발(R&D) - 2020.09.29,"회사위치를 제외하고 생각하면 워라벨은 좋다 남양연구소 기준 만약 수도권에서 거주할생각이면 출퇴근 최소 2시간 이상은 생각해야할듯하다
아는게 없어도 업무가 가능한 신기한 회사",워라벨말곤 없다 특히 커리어적으로 욕심이 있는 사람이 다니면 현타올듯
275,1,1,1,1,1,1,"“기술직을 위한, 기술직에 의한”",현직원 · 미****** · 연구개발(R&D) - 2020.09.29,"여러 유형의 인간 군상을 체험할 수 있었습니다
상상 그 이상입니다","복지 및 대우는 중견기업정도 입니다
다만 주변에서는 대기업으로 알고 있어 그 온도차가 불만입니다"
276,1,1,3,1,1,1,“미래가 안보이는 회사”,현직원 · i******* · 연구개발(R&D) - 2020.09.29,2010년 초반의 성과금 예전의 현대차 입사하면 주변의 시선,경영층이 직원들을 노예로 생각하는게 보임 애사심이 생기지않음
277,1,1,3,1,1,1,“꿀팀이라면 공기업보다 괜찮은 회사”,현직원 · Y***** · 생산엔지니어·생산관리 - 2020.09.29,일반회사보다 휴일이 많습니다 노조 투표 식목일 제헌절 등 쉬는날이 많아요,동종업계 이직불가 반도체 중견보다 못한 연봉 방향성 없는 경영진
278,1,1,1,1,1,1,“탈출이 필요함”,현직원 · Q***** · 경영지원·관리 전문가 - 2020.09.24,"외부에서 바라보는 시선
조합원 자격 유지 시만년 사원대리 혜택
월차 월급루팡 등","직원을 부품으로 생각
깎이는 성과금
연장 수당 없음 포괄 임금제
생산생산직 제일주의 회사로 상대적 박탈감과 소외감"
279,5,5,5,5,5,5,“최고임”,전직원 · w***** · 생산엔지니어·생산관리 - 2021.02.11,돈 많이 줌 밥 잘 나옴 8시간 근무에 4시간만 일하고 4시간은 놂 다른사람이랑 2인1조로 몰래 일 몰아주기함 하청업체 아빠 빽으로 들어와서 직영으로 올라감대부분이라할거도 없이 전부다 이렇게 올라옴 비리 천지 초봉 5천 넘지만 노조가 쎄서 더 해달라고 징징거리고 파업하면 또 돈 올려줌,없음 주간2교대 최고임 세상에서 가장 연봉1억 벌기 쉬운 직업임
280,4,2,4,2,3,2,“시급이 높은 회사”,현직원 · i******* · 경영지원·관리 전문가 - 2023.08.16,이직자 혹은 다른 회사 경험이 있다면 편하다 느낄 정도로 시스템이 없고 일이 안 어려움 워라벨이 좋음,회사가 직원한테 돈을 너무 아끼는게 느껴짐 업무로 발생하는 비용 특근비 출장비 등 신청 안하면 알아서 안주고 신청 마져도 어렵고 눈치보이게 만드는 구조
281,3,2,3,3,3,3,“팀바팀”,현직원 · @*** · 경영지원·관리 전문가 - 2022.06.30,짜잘한복지 대기업다니는맛 차량할인 밥주고 에어컨 잘틀어쥬규,너무 짜잘한 복지 급여수준이 아주박합니다
282,2,1,3,2,1,1,“성과 나눔은 없고 복지 꽝!!!”,현직원 · n******* · 연구개발(R&D) - 2023.08.25,"부모님께 딱히 설명 불필요
연구원은 연차에 월차 나와서 굿","성과는 모두 임원이 잘해서
커리어가 뭐냐
책임은 노예
복지 너무 빈약"
283,2,2,3,2,1,1,“대기업”,현직원 · 똠** · 경영전략·사업기획·분석전문가 - 2023.08.06,"누구나 알만한 대기업
차 할인
킹차갓무직
현대차그룹
협력사 갑질","꼰대 분위기
정체되는 커리어
부서 바이 부서
한번 들어오면 움직이기 힘듦"
284,2,3,2,2,2,1,“뭐 하나 괜찮은 거 없는데 과거의 영광에만 젖어있는 회사”,현직원 · f***** · 마케팅·홍보 전문가 - 2022.05.19,대기업이라는 외부 시선 그 이상은 없다,"1 임원들의 의사결정 방식과 결과
2 워라밸 좋다는 소문 개뻥
3 돈도 적음
4 자동차 산업에 묶일 가능성 큼
5 사람 갈아서 실적 내려는 리더
6 본인이 덜 꼰대라고 생각하는 꼰대들"
285,2,2,2,3,1,1,“회사는 좋으나 직원은 불행한 회사 ”,현직원 · K***** · 구매·물류·SCM 전문가 - 2021.07.03,구매 직무는 정말 장점이 하나도 없다 아무리 생각해도,구매 직무는 하나 부터 열까지 다 단점이다 정말 최악의 부서
286,2,2,3,2,2,1,“연봉이 매년 줄어드는 화사”,현직원 · i********* · 연구개발(R&D) - 2020.09.27,"한때 자부심을 갖고 일하는 회사였습니다
불과 몇년 전까지만 해도 말이죠","하지만 성과에 대한 분배가 불공정해지기 시작했고
기업 문화는 해가 지나도 별반 달라지는게 없어 안타깝네요"
287,1,1,3,1,1,1,“직원 개똥으로 아는회사”,현직원 · E***** · 구매·물류·SCM 전문가 - 2023.09.05,"인터넷에서 회사 욕하는 댓글봐도 화가 안남
오히려 내가 더 욕 잘할수있음","임원달면 돈 많이 받음
경력입사자인데 회사 시스템 내부 프로세스가 타회사 20년전이랑 똑같음"
288,1,1,2,1,3,1,“기준이 없는 유연한 회사”,현직원 · l***** · 연구개발(R&D) - 2023.09.01,"기준이 없어서 일하다 빵꾸나도 어찌어찌돌아감
덕분에 업무에대한 압박감이 적음
실수하고 문제 터져도 서로 쉬쉬하고 넘어감
재택근무가 있어 유연한 워라벨재도는 있어도 못쓰는 눈치주고 부서는있음","업무 복지 성과급
업무 관련 기준이나 메뉴얼이 없어서 처음에 일배울때 힘듬 주먹구구 어깨넘어로 알아서 배워야함
몇 안되는 포인트 급여부분만 지원되는 의료비복지 있음 회사는 복지 늘리는데 인색하고 관심없음
성과급 기준 전무함 작년 성과를 연말이나 되어야 겨우겨우 나누어서 받음
작년 실적 안좋음 올해 안좋음 성과없어 줄수없다
작년 실적 안좋음 올해 좋음 성과급은 작년기준
작년 실적 좋음 올해 안좋음 올해 경영이 어려워서 못준다
작년 실적 좋음 올해 좋음 미래에 있을 위기때문에 어렵다
기준이 매년 상황에따라 말바꾸며 직원을 농락함"
289,1,1,1,1,1,1,“중소기업보다 못한 자동차 제조 기업”,현직원 · j****** · 생산엔지니어·생산관리 - 2023.09.01,"성과급으로 직원들 갈라지기 오지게 하는회사
경영진만 배불리는 회사","회사어 오면 일하기 싫어짐
임원을 위한회사
매니저 책임은 개 쓰레기인 회사
이직율 최고인회사"
290,1,1,1,1,1,1,“한마디로 직원들을 개 호구로 보는 회사”,현직원 · I******* · 연구개발(R&D) - 2023.08.31,"출퇴근 유연
시골 농촌의 향기를 맛볼수 있음
도시 접근성이 나빠 장거리 출퇴근시 잠잘수 있음","인사 노무 갈라치기 심함
낮은 연봉과 경직된 조직문화
구닥다리 경영진과 늙은 의사결정 능력
광팔이가 대부분"
291,1,1,2,1,1,1,“회사와 임직원이 따로 노는 회사”,현직원 · e****** · 연구개발(R&D) - 2023.08.24,자동차 할인 원격근무2일주 무료 중석식조식 제외,임직원이 생각하는 미래와 일부 경영진이 생각하는 미래가 다름 특히 급여 수준이 인플레이션 대비 10년간 유지되어 퇴사율이 높아지는 회사
292,1,2,3,1,1,1,“사상 최대실적과는 무관한 직원처우”,현직원 · i********* · 생산엔지니어·생산관리 - 2023.08.24,완성차회사로서 전세계 누구나 알만한 회사라 내 신분을 굳이 설명할 필요가없음,"성과급 기준이없어 노조는 협상하는 척만 하고 실제론 경영진 주고싶은대로 성과급 주는 회사
성과급 기준 명확한 회사로 가세요

사상 최대실적임에도 불구하고 직원들 처우는 1도 생각안하머 경영진 뱃속만 불리는 더러운 회사임"
293,1,1,1,1,1,1,“워라벨 하나만 좋음”,현직원 · 킹*** · 생산엔지니어·생산관리 - 2023.08.24,"연차 월차 눈치 없이쓸수 있음
워라벨은 아주 좋습니다
본인 할일만 하면 터치 안함","임원들은 돈잔치 직원들은 연봉하락
점점 무너져 가는 회사 직원들은 임원들 보면서 상대적 박탈감 엄청 느낌"
294,1,1,1,1,1,1,“그냥 저냥 다니기 좋은 회사”,현직원 · e***** · 연구개발(R&D) - 2023.08.24,업무가 단조롭고 재미는 별로 없지만 힘들다는 생각은 들지 않는다,사람을 만나는것에 따라 달라지는 듯 난 다행히 그렇게 이상한 사람은 못 봤다
295,1,1,2,1,1,1,“미래가 어두운 회사”,현직원 · i********* · 연구개발(R&D) - 2023.08.23,다른 대기업에 비해서는 근무시간이 적고 업무 강도가 낮음 이것도 하루 34시간의 통근시간까지 포함하면 장점이라 볼수도 없음,"직원의 성과를 존중하지 않는 경영진 마인드 회사만 배부름 직원들은 마음에 안들면 나가라식 대우
꼰대군대 문화
하루 34시간을 길바닥에 버려야 되는 근무지 남양연구소기준 이 큰 단점에 경영진은 허드슨강 같은 소리나 하고 있음"
296,1,1,1,1,1,1,“적은 돈에 공무원처럼”,현직원 · q***** · IT 기획·매니지먼트 전문가 - 2023.08.20,"특정 지역 제외하고 워라벨 쏘쏘
특정지역 예시  남양 울산 아산",삼성이나 하이닉스 갈껄이란 생각이 절실하게 드는 보상체계
297,1,1,1,1,1,1,“보상이 없는 회사”,현직원 · l********* · 연구개발(R&D) - 2023.08.20,많은 업무를 통해서 배우고 성장할 기회를 얻는 것이 장점,업무 성과에 보상이 없고 직원을 소중하게 여기지 않는 경영진 그리고본인들의 이익만 생각하는 노조
298,1,1,1,1,1,1,“자린고비”,현직원 · i******* · 연구개발(R&D) - 2023.08.20,출퇴근 하는데 하루 4시간소요되어 통근버스에서 잠을 3시간이상 잘수있다 장점을 어떻게 30자를채우지,회사는 항상 위기다 위기기때문에 성과급을안주고 기본급 인상도안해준다 연봉을보면 10년전보다  수준
299,1,1,2,2,1,1,“폐급 연구위원 잘못걸리면 나라가는 인생임”,현직원 · 국*** · 연구개발(R&D) - 2023.08.20,"네임밸류 좋음 개그 소재로 사용될 정도
차량 구매시 첫차 20프로 할인 가능","꼰대 문화
광팔이 문화
징징이 문화
등등 안좋다고 생각하는건 다 있음
돈도 안주려는 회사
노인 중심 권리 주장하는 노조
노답임"
300,1,1,1,1,1,1,"“잘못걸리면 워라벨도, 돈도 없는 회사”",현직원 · 워*** · 연구개발(R&D) - 2023.08.19,"장점이라곤 찾을수 없다
그나마 다행히 부서 사람들은 괜찮음",헬부서라 재택은 꿈도 못꾸고 주 40시간 이상 무조건 근무함 고졸 생산직이 연구원 포함 전직원 성과금 결정하는 이상한 회사 역대급 실적에 국민정서 운운하며 한푼이라도 덜주려고 하는 경영진 작년 성과금을 8월이 다가도록 아직도 못받음 출퇴근 편도 1차선 도로마비 연구소에 소똥냄새 엄청남 노후화된 시설 비 안와도 비 새서 바가지 두고 업무함 구닥다리 꼰대문화
301,1,1,1,1,1,1,“오지마세요”,현직원 · j****** · 연구개발(R&D) - 2023.08.17,"부바부겠지만
왠만하면 일 안할수있어서 개조음
새삼 차는 잘팔림","회사가 직원에게 한푼이라도 아끼려는게 보임
대머리깎아라"
302,1,1,1,1,1,1,“연구직은 걸러야하는 회사”,현직원 · l***** · 연구개발(R&D) - 2023.07.17,차량할인이 최대 장점이라고 하지만 그걸 상쇄하는 수많은 단점들 자차 있으면 차량할인도 별 메리트 x,"고령인구에 집중된 복지제도
업무로부터 얻는 커리어 발전 전무"
303,1,2,2,1,2,1,“경영진의 리더쉽과 안목이 의심가는 회사”,현직원 · l******** · 연구개발(R&D) - 2022.05.31,"자동차를 너무 좋아해서 다양한 공개전 차들을 볼 수 있음
또한 직접 자동차의 개발에 참여하여 양산된 차량이 도로를 달리는걸 볼때 만족감","경영진의 리더쉽과 안목에 의심이 가 미래가 불투명해보임
사대리의 처참한 연봉
기술 생산직과 같은 월급을 받는 사무 연구직
성과가 있음에도 성과가 없는 조직에 성과급을 파격적으로 지급함
회사 자체가 갈라치기에 특화되어 있는데 요즘 돌아가는 꼴을 보니 경영층부터 갈라침
미래 먹거리 사업을 찾아야하는건 전 그룹사가 동의하나 당장 돈을 벌어오는 자동차 개발 인력들에 대한 공로 인정조차 야박함"
304,1,1,1,1,1,1,“과거의 영광은 과거일 뿐...”,현직원 · i********* · 연구개발(R&D) - 2022.05.30,"과거에 잘나가던 시절이 있었다
잘나가던 시절을 추억할 수 있다","과거의 추억만 남아 현재는 기울어지는중
능력자들의 퇴사"
305,1,1,1,1,1,1,“체계가 ㅈ도 없는 회사”,현직원 · i********* · IT 엔지니어 - 2022.05.19,"밖에서 보기에 좋은 대기업임
차 할인받는 거
브랜드가치","책임전가 무체계 주먹구구식 일하기
무교육 낮은 연봉"
306,1,1,2,2,1,1,“회장이 말아먹은 미래가 불투명한 회사”,현직원 · Q***** · 연구개발(R&D) - 2022.03.27,"다른 대기업들도 다 가지고 있는 복지는 있음
연구소기준 오지에 있다는것만 빼면 워라벨은 나쁘지 않음","조직 변경이 잦고 경영진이 연구진을 죄인 취급함
남양연구소 기준 회사가 오지에 있고 남양에 살거아니면 보통 아침 6시 반정도 통근 버스 타야함"
307,1,1,3,1,1,1,“명목 임금이 줄어드는 회사”,현직원 · 3******** · 연구개발(R&D) - 2022.01.27,전세계 누구나 아는 회사이기는 해서 뭐하는 회사인지 설명할 필요는 없다,스스로의 가치가 퇴보하고 있다는 생각이 끊이지 않고 실제로 연소득이 계속 감소하였다 물가상승률 감안 소득 말고 실제 윈징에 찍히는 숫자가 감소한다
308,1,1,1,1,1,1,“과거의 영광을 되찾지 못하는 회사”,현직원 · 글********* · 경영전략·사업기획·분석전문가 - 2022.01.17,대기업이란 명목하에 수 많은 사람들과의 접점을 쌓을 수 있다,"관리자의 폭언으로 동료가 자살했을 때 너무 힘들었다
군대위의 현대문화"
309,1,1,1,1,1,1,“급여가 짭니다”,현직원 · 난***** · 해외영업·사업개발·마케팅 - 2022.01.12,자기가 원해서 나가지 않는 이상 정년까지 다니기에는 여러 대기업들 중 가장 가능성 높은 편,"급여가짭니다
복지도 특별한게 없고
커리어단절이라 이직도 못해요
양재라고 하지만 사실상 양재아니고 경기도와의 경계 위치
서울 중 가장 시골이예요"
310,1,1,3,1,1,1,“여기 온걸 매일 후회함”,현직원 · K***** · 해외영업·사업개발·마케팅 - 2021.12.10,휴일이 타 회사보다 많음 유일한 장점 월차 연차 차할인 정도,특히 몇몇 본부 문화는 아직도 90년대 머물러 있음 절이 싫으면 중이 떠나야함
311,1,1,1,1,1,1,“틀딱 기술직 이기심으로 파멸할 멍청한 회사”,현직원 · F***** · 경영지원·관리 전문가 - 2021.07.10,"양재본사 밥 잘나오고 딜리버리 되는 것
이것만큼은 정말 극강의 장점이다","그 외 모든 것
무능하고 직원 소리 안듣는 윗대가리부터
잘못된걸 잘못됐다 말못하는 문화
무엇보다도 기득권 기술직 위주의 조합으로 파국을 맞을 회사임"
312,1,1,1,1,1,1,“인생 나락이 보장되는 회사”,현직원 · 취******* · 연구개발(R&D) - 2021.07.05,"부모님이 좋아하시고조부모님이 좋아하시고그정도
아 연봉 적어서 보금자리론 가능","1 심각한 연봉 뻥튀기 신입 계약연봉 4300을 6500으로 속임 연봉 입사후 계속 하락중
2 회사대출 없음
3 복지 없음
4 시스템 없음
5 직원 대우 심각할정도로 안좋음
6 자고로 대한민국은 반도체가 답이다 삼전하닉 가자"
313,1,1,1,1,1,1,“기만킹”,현직원 · i******* · 경영전략·사업기획·분석전문가 - 2021.07.01,이직을 위한 자기계발 동기부여가 엄청남 재테크가 살 길이라는걸 알게됨,연봉 사기 일시금 지급을 연봉 인상이라고 거짓말하는 회사 임직원의 불만을 회장과 사장단이 인식했다고 하지만 조치 없이 말 그대로 인식만 함 거기에 최악의 위치와 조직문화는 덤
314,1,1,2,1,1,1,“영끌 기준 초봉 4천대 회사”,현직원 · !********* · 연구개발(R&D) - 2021.06.25,"제태크를 공부할 수 있게 도와줌
ppt 문서 작성 능력이 올라감
탄수화물을 많이 먹을 수 있음","석사 월급이 300이 안됨
성과급도 400 언저리
석졸 기준 원징 5천 간당간당
고탄저단 식단으로 배가 나옴"
